Name,Season,Team,Level,Age,G,AB,PA_x,AVG,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,Off,MLB_PA
Isiah Kiner-Falefa,2016,TEX,AA,21,108,402,457,0.256218905,103,0,55,0.803921568,3.9710464399283500,0.38243626,0.220588235,2.533333333,11,-50.37985282292930,2911.0
Lucas Duda,2009,NYM,AA,23,110,395,467,0.281012658,111,9,49,0.67032967,2.3221619742033800,0.43269231,0.140522875,0.813793103,5,52.34901308051920,3581.0
Brock Holt,2011,PIT,AA,23,132,511,579,0.287671232,147,1,62,0.588235294,6.084437795650880,0.3630137,0.207547169,1.526315789,7,-29.33109399920160,2661.0
Ryan Mountcastle,2018,BAL,AA,21,102,394,428,0.296954314,117,13,63,0.329113924,4.977083670625450,0.43125,0.199367088,0.992125984,3,32.546409632866900,2312.0
Chris Coghlan,2008,FLA,AA,23,132,483,565,0.298136645,144,7,83,1.03076923,6.676065677819860,0.5,0.195652173,1.234899328,12,7.86089812385603,2905.0
Tucker Barnhart,2013,CIN,AA,22,98,339,395,0.25958702,88,3,30,0.789473684,2.165902390917950,0.45172414,0.224561403,1.278350515,3,-99.5386220861106,3088.0
Orlando Arcia,2015,MIL,AA,20,129,512,552,0.306640625,157,8,74,0.410958904,6.964500588567620,0.50782998,0.205542725,1.263157894,3,-92.59707124060810,3323.0
Trevor Plouffe,2007,MIN,AA,21,126,497,555,0.273641851,136,9,75,0.426966292,4.911764652615660,0.44941176,0.116336633,1.02840909,2,-31.58528013122140,3234.0
Gaby Sanchez,2008,FLA,AA,24,133,478,558,0.313807531,150,17,70,0.985714285,4.071287954591380,0.47584541,0.204938271,0.829545454,6,9.395488936682970,2271.0
John Jaso,2007,TBD,AA,23,109,380,450,0.315789473,120,12,62,1.204081632,3.145091861564540,0.43491124,0.176646706,1.00729927,4,34.35342538852630,2591.0
Eric Sogard,2009,SDP,AA,23,117,457,530,0.29321663,134,6,79,1.234042553,4.815707058557350,0.42080378,0.212345679,0.843930635,2,-55.236026557260000,2493.0
Chris Carter,2009,OAK,AA,22,125,490,593,0.336734693,165,24,108,0.68907563,4.812109617424780,0.4895288,0.245333333,0.645348837,11,22.469236326138300,2853.0
Allen Craig,2008,STL,AA,23,129,506,568,0.304347826,154,22,84,0.551724137,2.546704462968420,0.47641509,0.167883211,1.28,10,15.12970129464570,2013.0
Eric Thames,2010,TOR,AA,23,130,496,573,0.288306451,143,27,95,0.41322314,5.803229499572750,0.43342037,0.175675675,0.859756097,18,23.288759844215300,2112.0
James McCann,2013,DET,AA,23,119,441,486,0.27664399,122,8,50,0.352941176,2.8473541384028800,0.48076923,0.211111111,1.535714285,7,-84.87073952741320,3307.0
Casey McGehee,2007,CHC,AA,24,105,384,429,0.2734375,105,9,53,0.547945205,2.992296905654760,0.4335443,0.167202572,1.420560747,0,-59.73443346740600,3086.0
Delino DeShields,2014,HOU,AA,21,114,411,507,0.236009732,97,11,75,0.544642857,7.42041366969957,0.43710692,0.16722408,1.040983606,11,-36.57093417657700,2114.0
Matt Adams,2011,STL,AA,22,115,463,513,0.300215982,139,32,80,0.444444444,2.739158269008360,0.45526316,0.219512195,1.322580645,4,-0.4794600767746540,2614.0
Stephen Vogt,2011,TBR,AA,26,97,386,427,0.300518134,116,13,52,0.588235294,4.850696735994570,0.4173913,0.210526315,0.741935483,1,-31.811205375688300,2598.0
Franmil Reyes,2017,SDP,AA,21,135,507,566,0.258382642,131,25,79,0.358208955,3.304981036110060,0.45169713,0.177419354,1.372093023,3,13.960589553818400,2078.0
A.J. Ellis,2007,LAD,AA,26,110,357,430,0.268907563,96,8,59,0.983606557,3.245876321854240,0.35430464,0.163879598,1.403846153,8,-30.949858589863100,2303.0
Nomar Mazara,2015,TEX,AA,20,111,409,470,0.283618581,116,13,57,0.510869565,3.564749822405020,0.42507645,0.224299065,1.243243243,5,-47.163745051199900,2690.0
Nick Hundley,2007,SDP,AA,23,101,373,422,0.246648793,92,20,55,0.567567567,2.326256778587960,0.57284768,0.181208053,0.755395683,2,-58.27649453084650,3373.0
Ben Gamel,2014,NYY,AA,22,131,544,586,0.261029411,142,2,58,0.409090909,4.842140224397070,0.40522876,0.167770419,1.312883435,2,-11.266594176513200,2320.0
Raimel Tapia,2016,COL,AA,22,104,424,457,0.323113207,137,8,79,0.510204081,6.411279752303270,0.44791667,0.16981132,1.961538461,3,-38.12308761678770,2027.0
Hunter Dozier,2015,KCR,AA,23,128,475,523,0.212631578,101,12,65,0.298013245,4.382765284680220,0.49386503,0.235668789,0.983471074,1,-19.17265432913530,2315.0
Rowdy Tellez,2016,TOR,AA,21,124,438,514,0.296803652,130,23,71,0.684782608,3.468740256198510,0.43220339,0.208571428,1.007246376,6,-19.743109372303200,2305.0
Dominic Smith,2016,NYM,AA,21,130,484,542,0.301652892,146,14,64,0.675675675,2.871354639512150,0.39518072,0.234146341,1.211267605,3,-20.27156066220140,2266.0
