Season,Name,Team,Level,Age,G,AB,PA,AVG,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,PlayerId
2019,"Carlos Perez","BAL","AA",28,94,350,385,0.251428571,88,14,34,0.384615384,0.8476443712499999,0.5442623,0.15771812,0.707482993,8,"10642"
2013,"Gio Urshela","CLE","AA",21,116,445,466,0.269662921,120,8,42,0.291666666,2.5529839236406344,0.46898263,0.139949109,1.060975609,1,"10681"
2017,"Mike Olt","BOS","AA",28,113,392,448,0.244897959,96,16,51,0.41025641,2.2268415150000003,0.49280576,0.143382352,0.553333333,4,"10698"
2010,"Darren Ford","SFG","AA",24,113,463,516,0.250539956,116,5,64,0.367924528,8.08549318851216,0.44505495,0.164265129,1.071428571,5,"109"
2013,"Adam Duvall","SFG","AA",24,105,385,430,0.249350649,96,17,60,0.486111111,4.730232426912695,0.55660377,0.173076923,0.686274509,5,"10950"
2013,"Ramon Flores","NYY","AA",21,136,534,620,0.260299625,139,6,79,0.785714285,4.7559702654980756,0.44469526,0.188811188,1.24516129,2,"11165"
2012,"Jonathan Schoop","BAL","AA",20,124,485,555,0.245360824,119,14,68,0.485436893,3.624046675597782,0.43654822,0.172774869,1.164383561,9,"11265"
2014,"Aaron Altherr","PHI","AA",23,120,449,492,0.236080178,106,14,54,0.236363636,5.1452762351080885,0.50144092,0.142857142,1.232558139,8,"11270"
2013,"Jesus Aguilar","CLE","AA",23,130,499,567,0.274549098,137,16,66,0.523364485,1.4331195388756064,0.4725,0.185089974,1.348148148,5,"11342"
2009,"Carlos Rivero","CLE","AA",21,132,480,546,0.241666666,116,7,50,0.684931506,2.6554628526040958,0.42619048,0.159806295,0.855614973,1,"1136"
2010,"Carlos Rivero","CLE","AA",22,110,406,444,0.231527093,94,6,39,0.345679012,2.77788706067789,0.38438438,0.158385093,1.06870229,1,"1136"
2011,"Carlos Rivero","PHI","AA",23,129,491,538,0.274949083,135,15,70,0.358490566,3.15838774231956,0.46666667,0.178756476,0.751381215,5,"1136"
2014,"Drew Maggi","PIT","AA",25,110,347,414,0.279538904,97,3,60,0.862068965,5.386577700901782,0.45084746,0.120567375,1.638297872,9,"11381"
2013,"Tyler Holt","CLE","AA",24,133,521,589,0.266794625,139,2,83,0.611111111,7.632565574234642,0.38041002,0.201900237,1.366197183,3,"11391"
2014,"Gary Sanchez","NYY","AA",21,110,429,477,0.27039627,116,13,48,0.472527472,1.5587473128921578,0.46764706,0.170212765,1.353448275,2,"11442"
2014,"Rob Segedin","NYY","AA",25,92,325,394,0.283076923,92,8,46,0.866666666,2.6091835406849437,0.45488722,0.188679245,0.853448275,13,"11446"
2012,"Gary Brown","SFG","AA",23,134,538,610,0.278810408,150,7,73,0.459770114,5.570077617893142,0.504329,0.192904656,1.056497175,19,"11464"
2014,"Tony Wolters","CLE","AA",22,94,341,387,0.249266862,85,1,36,0.472972972,3.597236641569704,0.42279412,0.191729323,1.193877551,3,"11470"
2014,"Michael A. Taylor","WSN","AA",23,98,384,441,0.3125,120,22,74,0.384615384,6.698543515852942,0.48449612,0.148594377,1.255319148,4,"11489"
2012,"Manny Machado","BAL","AA",19,109,402,459,0.266169154,107,11,60,0.685714285,6.057917982023262,0.49700599,0.200607902,1.038759689,6,"11493"
2016,"Rosell Herrera","COL","AA",23,126,425,494,0.291764705,124,5,61,0.708860759,6.38702789213016,0.41408451,0.184210526,1.876288659,2,"11611"
2013,"Jarrett Parker","SFG","AA",24,131,443,524,0.246049661,109,18,72,0.385093167,5.958949752852041,0.51578947,0.167883211,1.130841121,15,"11624"
2014,"Jarrett Parker","SFG","AA",25,100,363,419,0.275482093,100,12,52,0.436893203,6.384028276994241,0.42911877,0.147859922,0.955357142,10,"11624"
2014,"Tyler Austin","NYY","AA",22,105,396,437,0.275252525,109,9,56,0.45,4.8601752910903,0.42857143,0.203225806,1.111111111,2,"11850"
2014,"Steven Moya","DET","AA",22,133,515,549,0.275728155,142,35,81,0.142857142,6.03343274862058,0.46648045,0.193732193,1.021428571,3,"11854"
2014,"Mason Williams","NYY","AA",22,128,507,563,0.222879684,113,5,67,0.69117647,6.140470581695042,0.38374718,0.148491879,1.698529411,1,"11859"
2013,"Ronny Rodriguez","CLE","AA",21,116,468,498,0.264957264,124,5,62,0.210526315,6.601735532237528,0.37562189,0.148717948,1.289655172,3,"11875"
2014,"Ronny Rodriguez","CLE","AA",22,118,413,447,0.227602905,94,5,52,0.27173913,3.280572266779928,0.55555556,0.136075949,1.007352941,1,"11875"
