Season,Name,Team,Level,Age,G,AB,PA,AVG,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,PlayerId
2015,"Kevin Ahrens","ATL","AA",26,122,407,463,0.238329238,97,9,51,0.594936708,4.122350816939106,0.46587537,0.19207317,1.453703703,1,"sa389281"
2013,"Jaime Pedroza","ATL","AA",26,117,370,417,0.281081081,104,4,48,0.575757575,4.253394321479298,0.42258065,0.204620462,1.434343434,2,"sa389397"
2010,"Jaime Pedroza","LAD","AA",23,130,411,487,0.279805352,115,7,53,0.613861386,4.830642409285688,0.40880503,0.216393442,1.276190476,4,"sa389397"
2011,"Sergio Miranda","MIL","AA",24,109,356,401,0.269662921,96,0,49,0.731707317,3.714796753601404,0.40366972,0.190938511,1.747252747,5,"sa389414"
2011,"Scott Savastano","SEA","AA",25,106,368,429,0.282608695,104,10,54,0.725806451,3.1860627813379083,0.49526814,0.203278688,1.209090909,3,"sa389423"
2011,"Greg Paiml","CHW","AA",26,108,360,402,0.216666666,78,2,36,0.254545454,7.09008050922046,0.38132296,0.133064516,1.471264367,7,"sa389444"
2009,"Mark Hallberg","ARI","AA",23,132,456,511,0.256578947,117,2,51,0.906976744,4.641973825057927,0.43705463,0.184914841,1.791666666,8,"sa389690"
2009,"Tony Thomas","CHC","AA",22,125,427,498,0.25058548,107,11,66,0.471698113,4.3197468064634155,0.44478528,0.184126984,0.797202797,11,"sa389692"
2010,"Tony Thomas","CHC","AA",23,116,402,450,0.276119402,111,11,67,0.33,7.909933922140016,0.45307443,0.164983164,0.864661654,7,"sa389692"
2011,"Steffan Wilson","MIL","AA",25,123,419,461,0.236276849,99,6,48,0.4,3.5108406643130827,0.46865672,0.170731707,1.266666666,1,"sa389772"
2010,"Ryan Curry","FLA","AA",25,118,387,426,0.250645994,97,6,45,0.472222222,3.839192502826414,0.5260274,0.141618497,1.0625,5,"sa389866"
2011,"Ryan Curry","FLA","AA",26,112,369,411,0.243902439,90,8,53,0.48275862,4.4591069233174485,0.50943396,0.126623376,0.881118881,8,"sa389866"
2012,"Michael Burgess","CHC","AA",23,119,332,381,0.259036144,86,10,41,0.714285714,1.6190968087500002,0.44485294,0.136882129,1.182692307,2,"sa389928"
