Season,Name,Team,Level,Age,G,AB,PA,AVG,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,PlayerId
2012,"Kolten Wong","STL","AA",21,126,523,579,0.286806883,150,9,79,0.594594594,6.190231504391769,0.42511013,0.144144144,1.360248447,7,"12532"
2013,"C.J. Cron","LAA","AA",23,134,519,565,0.273603082,142,14,56,0.277108433,3.6833855859534648,0.46292135,0.19266055,1.095238095,15,"12546"
2014,"Taylor Featherston","COL","AA",24,127,497,550,0.259557344,129,16,69,0.333333333,5.734962422819301,0.50257732,0.215223097,1.3359375,9,"12590"
2019,"Taylor Featherston","KCR","AA",29,102,359,391,0.239554317,86,13,45,0.126666666,5.027925894243499,0.43396226,0.258373205,1.246376811,9,"12590"
2014,"Billy Burns","OAK","AA",24,91,363,421,0.256198347,93,1,57,0.692307692,7.968516162171469,0.33986928,0.207482993,3.087719298,3,"12701"
2015,"Breyvic Valera","STL","AA",23,105,360,401,0.236111111,85,3,37,1.259259259,3.0606312698859695,0.40652819,0.21450151,1.574257425,1,"12758"
2014,"Austin Hedges","SDP","AA",21,113,427,457,0.224824355,96,6,31,0.258426966,2.5065182377298716,0.51612903,0.191616766,0.956521739,3,"12976"
2015,"Charles Tilson","STL","AA",22,134,539,594,0.294990723,159,4,85,0.638888888,7.74316556777687,0.37209302,0.20086393,2.303571428,2,"12983"
2015,"Teoscar Hernandez","HOU","AA",22,121,470,514,0.219148936,103,17,92,0.261904761,7.570918103417734,0.45299145,0.167164179,0.897959183,4,"13066"
2017,"Jacob Wilson","STL","AA",26,129,432,503,0.247685185,107,17,63,0.515463917,2.7377783110222147,0.45348837,0.189349112,0.602339181,12,"13254"
2014,"Max Muncy","OAK","AA",23,122,434,530,0.262672811,114,7,59,0.956521739,4.291241425558454,0.48997135,0.188953488,0.847682119,2,"13301"
2017,"Humberto Arteaga","KCR","AA",23,124,453,490,0.258278145,117,1,47,0.384615384,3.6650768094976676,0.38888889,0.192207792,1.338345864,4,"13595"
2014,"Patrick Wisdom","STL","AA",22,128,452,498,0.214601769,97,14,49,0.261744966,4.968299202683027,0.48701299,0.176666666,0.9296875,2,"13602"
2015,"Patrick Wisdom","STL","AA",23,114,414,456,0.236714975,98,14,51,0.327102803,5.8761515508432725,0.49363057,0.196721311,0.884615384,0,"13602"
2017,"Jack Lopez","KCR","AA",24,95,363,398,0.280991735,102,5,42,0.232558139,5.57074608866033,0.40714286,0.2,1.682926829,8,"13663"
2018,"Elier Hernandez","KCR","AA",23,91,355,381,0.287323943,102,3,45,0.197183098,4.44723857213312,0.48275862,0.211267605,1.545454545,6,"13750"
2014,"Eric Stamets","LAA","AA",22,106,344,382,0.235465116,81,4,46,0.387096774,5.7228276946765515,0.46020761,0.151624548,0.94214876,5,"13795"
2015,"Bruce Maxwell","OAK","AA",24,96,338,381,0.24260355,82,2,32,0.722222222,1.3025335479704068,0.44947735,0.214788732,2.378787878,1,"13866"
2015,"Sherman Johnson","LAA","AA",24,135,490,591,0.204081632,100,7,75,0.872549019,5.693290017210497,0.49246231,0.177835051,0.854651162,2,"13906"
2016,"Jose Rondon","SDP","AA",22,96,376,409,0.279255319,105,5,45,0.227272727,5.539318486925054,0.34161491,0.175895765,1.432692307,3,"14140"
2015,"Nick Williams","TEX","AA",21,97,378,415,0.298941798,113,13,56,0.415584415,5.269007743948851,0.38741722,0.249158249,1.593023255,3,"14330"
2015,"Matt Olson","OAK","AA",21,133,466,585,0.248927038,116,17,82,0.755395683,3.1330444827783075,0.46865672,0.202416918,0.795918367,6,"14344"
2016,"Ronald Guzman","TEX","AA",21,102,375,416,0.288,108,15,51,0.402439024,4.362018975851692,0.37710438,0.249146757,1.178217821,3,"14388"
2017,"Scott Heineman","TEX","AA",24,117,468,529,0.284188034,133,9,82,0.41322314,6.320323825039944,0.38176638,0.217391304,1.621359223,9,"14453"
2015,"Renato Nunez","OAK","AA",21,93,381,416,0.278215223,106,18,62,0.424242424,2.7470090370680627,0.55031447,0.207667731,0.89312977,4,"14503"
2015,"Nomar Mazara","TEX","AA",20,111,409,470,0.283618581,116,13,57,0.510869565,3.564749822405017,0.42507645,0.224299065,1.243243243,5,"14553"
